Unnamed: 0,time,heading
56460,1129.2,259.26859681994125
56461,1129.22,259.27268035623763
56462,1129.24,259.2771285003454
56463,1129.26,259.2555484309753
56464,1129.28,259.27032315335924
56465,1129.3,259.25755653439245
56466,1129.32,259.2678699051597
56467,1129.34,259.270680230412
56468,1129.36,259.262023300184
56469,1129.38,259.27087546481715
56470,1129.4,259.28255485686384
56471,1129.42,259.2793681784129
56472,1129.44,259.2915030166368
56473,1129.46,259.2832721985751
56474,1129.48,259.2924733779453
56475,1129.5,259.2895686129383
56476,1129.52,259.2870634344409
56477,1129.54,259.2774794380646
56478,1129.56,259.2749180825614
56479,1129.58,259.2738803120829
56480,1129.6,259.2628437895563
56481,1129.62,259.26314620524823
56482,1129.64,259.27505914842993
56483,1129.66,259.27668121856607
